"","station.name","total"
"1","Pershing Square North",23938
"2","E 17 St & Broadway",17794
"3","Broadway & E 22 St",17479
"4","W 21 St & 6 Ave",16709
"5","8 Ave & W 31 St",14742
"6","Broadway & E 14 St",14213
"7","Broadway & W 60 St",13839
"8","W 41 St & 8 Ave",13346
"9","University Pl & E 14 St",13190
"10","Central Park S & 6 Ave",13005
"11","Grand Army Plaza & Central Park S",12937
"12","West St & Chambers St",12908
"13","8 Ave & W 33 St",12792
"14","Carmine St & 6 Ave",12186
"15","Lafayette St & E 8 St",12132
"16","Christopher St & Greenwich St",12066
"17","W 38 St & 8 Ave",11942
"18","12 Ave & W 40 St",11844
"19","W 16 St & 8 Ave",11705
"20","Broadway & W 25 St",11649
"21","Broadway & W 58 St",11639
"22","Great Jones St",11567
"23","Cooper Square & Astor Pl",11535
"24","W 15 St & 7 Ave",11232
"25","Centre St & Chambers St",11159
"26","W 33 St & 7 Ave",11036
"27","6 Ave & W 33 St",10950
"28","W 20 St & 11 Ave",10868
"29","E 7 St & Avenue A",10748
"30","Cleveland Pl & Spring St",10713
"31","E 47 St & Park Ave",10664
"32","W 18 St & 6 Ave",10557
"33","South End Ave & Liberty St",10498
"34","W 31 St & 7 Ave",10403
"35","Broadway & W 41 St",10386
"36","W 22 St & 10 Ave",10322
"37","1 Ave & E 16 St",10253
"38","Grand St & Elizabeth St",10119
"39","W 13 St & Hudson St",9779
"40","Lexington Ave & E 24 St",9768
"41","MacDougal St & Prince St",9659
"42","Greenwich Ave & Charles St",9482
"43","E 16 St & 5 Ave",9384
"44","E 10 St & Avenue A",9349
"45","LaGuardia Pl & W 3 St",9346
"46","W 24 St & 7 Ave",9263
"47","W 22 St & 8 Ave",9204
"48","Vesey Pl & River Terrace",9058
"49","W 27 St & 7 Ave",9022
"50","W 52 St & 6 Ave",9011
"51","Central Park West & W 72 St",8999
"52","E 24 St & Park Ave S",8994
"53","9 Ave & W 22 St",8964
"54","W 49 St & 8 Ave",8924
"55","Broadway & W 49 St",8828
"56","Washington St & Gansevoort St",8753
"57","E 32 St & Park Ave",8725
"58","Lafayette St & Jersey St",8718
"59","E 12 St & 3 Ave",8706
"60","9 Ave & W 45 St",8672
"61","Barrow St & Hudson St",8664
"62","Central Park West & W 68 St",8644
"63","W 11 St & 6 Ave",8605
"64","University Pl & E 8 St",8583
"65","Broadway & W 32 St",8536
"66","E 33 St & 2 Ave",8529
"67","E 4 St & 2 Ave",8462
"68","Columbus Ave & W 72 St",8326
"69","Broadway & W 29 St",8260
"70","1 Ave & E 68 St",8254
"71","E 11 St & 2 Ave",8238
"72","E 15 St & 3 Ave",8228
"73","W 25 St & 6 Ave",8166
"74","E 23 St & 1 Ave",8089
"75","E 25 St & 2 Ave",8059
"76","Pershing Square South",8028
"77","St Marks Pl & 1 Ave",8001
"78","St Marks Pl & 2 Ave",7976
"79","W 26 St & 8 Ave",7951
"80","E 48 St & 5 Ave",7928
"81","E 13 St & Avenue A",7927
"82","E 39 St & 2 Ave",7903
"83","Forsyth St & Broome St",7869
"84","Amsterdam Ave & W 73 St",7854
"85","Greenwich St & W Houston St",7828
"86","11 Ave & W 27 St",7752
"87","5 Ave & E 29 St",7749
"88","5 Ave & E 88 St",7729
"89","Mercer St & Bleecker St",7719
"90","Pier 40 - Hudson River Park",7715
"91","Bank St & Hudson St",7616
"92","Canal St & Rutgers St",7539
"93","Allen St & Stanton St",7459
"94","W 42 St & 8 Ave",7441
"95","E 20 St & 2 Ave",7416
