"","station.name","total"
"1","Pershing Square North",20187
"2","E 17 St & Broadway",13190
"3","W 21 St & 6 Ave",13165
"4","Broadway & E 22 St",13054
"5","8 Ave & W 31 St",12094
"6","8 Ave & W 33 St",11461
"7","Broadway & E 14 St",11232
"8","W 41 St & 8 Ave",10802
"9","W 20 St & 11 Ave",9939
"10","W 38 St & 8 Ave",9837
"11","Lafayette St & E 8 St",9646
"12","Broadway & W 60 St",9432
"13","Cooper Square & Astor Pl",9238
"14","W 33 St & 7 Ave",9151
"15","W 18 St & 6 Ave",9044
"16","E 47 St & Park Ave",9043
"17","W 31 St & 7 Ave",9016
"18","Great Jones St",8991
"19","Greenwich Ave & 8 Ave",8929
"20","Lexington Ave & E 24 St",8899
"21","Carmine St & 6 Ave",8823
"22","E 7 St & Avenue A",8749
"23","6 Ave & W 33 St",8653
"24","Broadway & W 25 St",8572
"25","1 Ave & E 16 St",8560
"26","Christopher St & Greenwich St",8206
"27","University Pl & E 14 St",8080
"28","Grand St & Elizabeth St",8076
"29","Broadway & W 41 St",7966
"30","Broadway & W 58 St",7963
"31","Cleveland Pl & Spring St",7864
"32","W 52 St & 6 Ave",7747
"33","West St & Chambers St",7650
"34","Central Park S & 6 Ave",7547
"35","Centre St & Chambers St",7428
"36","Broadway & W 49 St",7373
"37","E 32 St & Park Ave",7238
"38","W 16 St & 8 Ave",7234
"39","E 24 St & Park Ave S",7212
"40","Lafayette St & Jersey St",7206
"41","W 27 St & 7 Ave",7202
"42","9 Ave & W 22 St",7198
"43","W 49 St & 8 Ave",7168
"44","W 24 St & 7 Ave",7145
"45","MacDougal St & Prince St",7144
"46","E 12 St & 3 Ave",6976
"47","Broadway & W 32 St",6972
"48","E 33 St & 2 Ave",6969
"49","E 16 St & 5 Ave",6796
"50","W 26 St & 8 Ave",6755
"51","LaGuardia Pl & W 3 St",6689
"52","E 4 St & 2 Ave",6677
"53","9 Ave & W 45 St",6669
"54","South End Ave & Liberty St",6667
"55","W 15 St & 7 Ave",6667
"56","W 25 St & 6 Ave",6645
"57","Barrow St & Hudson St",6583
"58","W 20 St & 7 Ave",6581
"59","E 23 St & 1 Ave",6572
"60","W 22 St & 10 Ave",6541
"61","W 4 St & 7 Ave S",6512
"62","E 13 St & Avenue A",6511
"63","Columbus Ave & W 72 St",6482
"64","E 11 St & 2 Ave",6439
"65","W 22 St & 8 Ave",6423
"66","E 25 St & 2 Ave",6413
"67","Broadway & W 29 St",6406
"68","E 10 St & Avenue A",6379
"69","1 Ave & E 68 St",6345
"70","E 15 St & 3 Ave",6338
"71","E 20 St & FDR Drive",6332
"72","E 48 St & 5 Ave",6320
"73","Forsyth St & Broome St",6238
"74","Grand Army Plaza & Central Park S",6222
"75","Lexington Ave & E 29 St",6221
"76","Canal St & Rutgers St",6217
"77","Pershing Square South",6212
"78","E 20 St & 2 Ave",6207
"79","St Marks Pl & 1 Ave",6196
"80","St Marks Pl & 2 Ave",6134
"81","W 45 St & 8 Ave",6131
"82","E 39 St & 2 Ave",6125
"83","Vesey Pl & River Terrace",6124
"84","12 Ave & W 40 St",6097
"85","5 Ave & E 29 St",6082
"86","W 20 St & 8 Ave",6038
"87","Amsterdam Ave & W 73 St",5948
"88","Mercer St & Bleecker St",5838
"89","Allen St & Stanton St",5802
"90","W 27 St & 10 Ave",5799
"91","1 Ave & E 30 St",5759
"92","Allen St & Rivington St",5746
"93","1 Ave & E 18 St",5743
"94","Suffolk St & Stanton St",5717
"95","W 13 St & 5 Ave",5715
"96","E 11 St & 1 Ave",5669
"97","University Pl & E 8 St",5626
"98","W 13 St & Hudson St",5613
"99","Washington St & Gansevoort St",5594
"100","E 30 St & Park Ave S",5536
"101","E 31 St & 3 Ave",5531
"102","8 Ave & W 52 St",5509
"103","Greenwich St & W Houston St",5501
