"","station.name","total"
"1","Pershing Square North",29474
"2","West St & Chambers St",27573
"3","12 Ave & W 40 St",27126
"4","Broadway & E 22 St",24830
"5","8 Ave & W 31 St",24028
"6","Broadway & W 60 St",22990
"7","Christopher St & Greenwich St",22489
"8","E 17 St & Broadway",21559
"9","Broadway & E 14 St",21448
"10","W 33 St & 7 Ave",21434
"11","South End Ave & Liberty St",20513
"12","W 20 St & 11 Ave",20384
"13","W 18 St & 6 Ave",19307
"14","Carmine St & 6 Ave",19071
"15","Central Park S & 6 Ave",18461
"16","W 22 St & 10 Ave",17918
"17","Lafayette St & E 8 St",17730
"18","Washington St & Gansevoort St",17687
"19","W 31 St & 7 Ave",17510
"20","Pier 40 - Hudson River Park",17356
"21","Cleveland Pl & Spring St",17323
"22","Broadway & W 29 St",17086
"23","University Pl & E 14 St",16796
"24","1 Ave & E 16 St",16638
"25","W 22 St & 8 Ave",16532
"26","Greenwich Ave & 8 Ave",16482
"27","Grand St & Elizabeth St",16463
"28","W 41 St & 8 Ave",16350
"29","W 38 St & 8 Ave",16305
"30","W 34 St & 11 Ave",16287
"31","Cooper Square & Astor Pl",16238
"32","Vesey Pl & River Terrace",16189
"33","11 Ave & W 27 St",16119
"34","E 24 St & Park Ave S",15978
"35","Broadway & W 25 St",15938
"36","Grand Army Plaza & Central Park S",15926
"37","E 13 St & Avenue A",15902
"38","E 10 St & Avenue A",15768
"39","North Moore St & Greenwich St",15629
"40","Little West St & 1 Pl",15615
"41","Great Jones St",15161
"42","8 Ave & W 33 St",14837
"43","MacDougal St & Prince St",14808
"44","St Marks Pl & 1 Ave",14694
"45","Allen St & Stanton St",14380
"46","E 7 St & Avenue A",14144
"47","Broadway & W 41 St",14069
"48","E 47 St & Park Ave",14019
"49","Gansevoort St & Hudson St",13964
"50","E 32 St & Park Ave",13807
"51","W 25 St & 6 Ave",13807
"52","Broadway & W 37 St",13785
"53","W 17 St & 8 Ave",13720
"54","Central Park West & W 72 St",13612
"55","Greenwich St & W Houston St",13575
"56","W 24 St & 7 Ave",13561
"57","Canal St & Rutgers St",13371
"58","7 Ave & Central Park South",13156
"59","W 20 St & 7 Ave",13152
"60","Barrow St & Hudson St",13142
"61","FDR Drive & E 35 St",13103
"62","W 15 St & 7 Ave",13070
"63","Kent Ave & N 7 St",13001
"64","Broadway & W 49 St",12958
"65","E 16 St & 5 Ave",12835
"66","Centre St & Chambers St",12795
"67","W 52 St & 6 Ave",12787
"68","Lafayette St & Jersey St",12785
"69","W 16 St & The High Line",12735
"70","W 4 St & 7 Ave S",12675
"71","W 26 St & 8 Ave",12672
"72","South St & Gouverneur Ln",12430
"73","E 11 St & 1 Ave",12395
"74","Mott St & Prince St",12330
"75","Central Park West & W 68 St",12300
"76","E 20 St & 2 Ave",12286
"77","9 Ave & W 45 St",12268
"78","11 Ave & W 41 St",12249
"79","5 Ave & E 29 St",12164
"80","W Broadway & Spring Street",12126
"81","E 39 St & 2 Ave",12123
"82","St Marks Pl & 2 Ave",12039
"83","1 Ave & E 18 St",12005
"84","E 15 St & 3 Ave",11958
"85","E 33 St & 1 Ave",11865
"86","11 Ave & W 59 St",11849
"87","5 Ave & E 73 St",11837
"88","E 2 St & Avenue B",11834
"89","E 23 St & 1 Ave",11833
"90","E 4 St & 2 Ave",11796
"91","Lexington Ave & E 26 St",11752
"92","2 Ave & E 31 St",11737
"93","W 27 St & 7 Ave",11724
"94","6 Ave & Canal St",11722
"95","1 Ave & E 68 St",11703
"96","E 48 St & 5 Ave",11666
"97","Mercer St & Bleecker St",11623
"98","E 25 St & 2 Ave",11543
"99","Metropolitan Ave & Bedford Ave",11532
"100","5 Ave & E 88 St",11479
"101","E 2 St & Avenue A",11463
"102","Columbus Ave & W 72 St",11455
"103","8 Ave & W 52 St",11427
"104","Forsyth St & Broome St",11385
"105","Allen St & Rivington St",11372
"106","W 20 St & 8 Ave",11346
"107","Clinton St & Grand St",11333
"108","W 26 St & 10 Ave",11288
"109","S 5 Pl & S 5 St",11216
"110","Broadway & W 53 St",11117
"111","Mercer St & Spring St",10998
"112","E 20 St & FDR Drive",10992
"113","W 15 St & 10 Ave",10972
"114","Forsyth St & Canal St",10948
"115","W 27 St & 10 Ave",10944
"116","E 6 St & Avenue B",10940
"117","E 2 St & 2 Ave",10906
"118","W 13 St & 7 Ave",10816
"119","E 31 St & 3 Ave",10806
"120","E 20 St & Park Ave",10803
"121","Stanton St & Chrystie St",10676
"122","LaGuardia Pl & W 3 St",10612
"123","W 52 St & 5 Ave",10588
"124","6 Ave & Broome St",10565
"125","Jay St & York St",10557
"126","W 43 St & 10 Ave",10547
"127","Allen St & Hester St",10518
"128","W 42 St & 8 Ave",10333
"129","Broadway & Battery Pl",10329
"130","Old Fulton St",10294
"131","N 6 St & Bedford Ave",10173
"132","Greenwich Ave & Charles St",10164
"133","Amsterdam Ave & W 73 St",10153
"134","Sullivan St & Washington Sq",10151
"135","1 Ave & E 78 St",10113
"136","E 39 St & 3 Ave",10100
"137","W 45 St & 8 Ave",10076
"138","Lispenard St & Broadway",10061
"139","1 Ave & E 62 St",10001
"140","W 47 St & 10 Ave",9820
"141","W 46 St & 11 Ave",9808
"142","Norfolk St & Broome St",9727
"143","W 52 St & 11 Ave",9722
"144","E 11 St & 2 Ave",9681
"145","Howard St & Centre St",9657
"146","W 11 St & 6 Ave",9619
"147","W 49 St & 8 Ave",9578
"148","Murray St & Greenwich St",9575
"149","E 58 St & 3 Ave",9555
"150","Fulton St & Broadway",9552
"151","W 37 St & 5 Ave",9469
"152","Central Park West & W 85 St",9434
"153","Bank St & Hudson St",9429
"154","E 12 St & 3 Ave",9402
"155","W 13 St & 5 Ave",9396
"156","Perry St & Bleecker St",9383
"157","Watts St & Greenwich St",9352
"158","E 9 St & Avenue C",9310
"159","Pershing Square South",9282
"160","W 37 St & 10 Ave",9225
"161","S 4 St & Wythe Ave",9179
"162","E 52 St & 2 Ave",9126
"163","E 30 St & Park Ave S",9069
"164","9 Ave & W 28 St",9050
"165","Bank St & Washington St",9029
"166","W 21 St & 6 Ave",9028
"167","Peck Slip & Front St",9020
"168","W 63 St & Broadway",8907
"169","Wythe Ave & Metropolitan Ave",8881
"170","E 11 St & Avenue B",8861
"171","Broadway & W 38 St",8839
"172","West Drive & Prospect Park West",8756
"173","Suffolk St & Stanton St",8751
"174","9 Ave & W 18 St",8745
"175","Liberty St & Broadway",8723
"176","W 42 St & Dyer Ave",8721
"177","Central Park W & W 96 St",8666
"178","W 45 St & 6 Ave",8638
"179","University Pl & E 8 St",8592
"180","Central Park North & Adam Clayton Powell Blvd",8547
"181","E 41 St & Madison Ave",8486
"182","Barclay St & Church St",8464
"183","MacDougal St & Washington Sq",8431
"184","Hanson Pl & Ashland Pl",8418
"185","Lexington Ave & E 29 St",8417
"186","E 19 St & 3 Ave",8382
"187","Front St & Washington St",8346
"188","W 53 St & 10 Ave",8242
"189","Bergen St & Smith St",8235
"190","Milton St & Franklin St",8233
"191","Murray St & West St",8229
"192","E 16 St & Irving Pl",8191
"193","1 Ave & E 30 St",8132
"194","5 Ave & E 78 St",7958
"195","Riverside Blvd & W 67 St",7908
"196","Bayard St & Baxter St",7857
"197","E 55 St & Lexington Ave",7845
"198","W 44 St & 5 Ave",7821
"199","Rivington St & Chrystie St",7819
"200","Atlantic Ave & Furman St",7798
"201","E 27 St & 1 Ave",7741
"202","W 67 St & Broadway",7656
"203","E 53 St & 3 Ave",7602
"204","Central Park West & W 76 St",7526
"205","E 10 St & 5 Ave",7513
"206","Division St & Bowery",7489
"207","South St & Whitehall St",7404
"208","Stanton St & Norfolk St",7389
"209","Riverside Dr & W 72 St",7343
"210","1 Ave & E 44 St",7325
"211","W 54 St & 9 Ave",7320
"212","E 2 St & Avenue C",7240
"213","Henry St & Grand St",7220
"214","E 25 St & 1 Ave",7217
"215","Washington Pl & Broadway",7117
"216","Lenox Ave & W 111 St",7097
"217","Bus Slip & State St",7071
"218","E 45 St & 3 Ave",7063
"219","E 12 St & 4 Av",7029
"220","E 59 St & Madison Ave",7014
"221","S 3 St & Bedford Ave",6963
"222","Bond St & Fulton St",6961
"223","E 53 St & Madison Ave",6892
"224","E 43 St & 5 Ave",6868
"225","W 70 St & Amsterdam Ave",6816
"226","Front St & Maiden Ln",6812
"227","Grand Army Plaza & Plaza St West",6791
"228","E 47 St & 2 Ave",6783
"229","W 59 St & 10 Ave",6781
"230","Broadway & W 51 St",6711
"231","Hudson St & Reade St",6697
"232","Washington Pl & 6 Ave",6679
"233","Columbus Ave & W 95 St",6548
"234","Rivington St & Ridge St",6520
"235","Fulton St & Adams St",6495
"236","Amsterdam Ave & W 79 St",6495
"237","E 84 St & 3 Ave",6494
"238","E 6 St & Avenue D",6487
"239","E 72 St & York Ave",6478
"240","W 64 St & Thelonious Monk Circle",6469
"241","Driggs Ave & N 9 St",6456
"242","Amsterdam Ave & W 82 St",6413
"243","Berry St & N 8 St",6360
"244","W 56 St & 10 Ave",6248
"245","W 95 St & Broadway",6238
"246","Broadway & Berry St",6220
"247","Queens Plaza North & Crescent St",6195
"248","Pike St & E Broadway",6131
"249","W 35 St & Dyer Ave",6117
"250","Bedford Ave & Nassau Ave",6085
"251","Court St & State St",6030
"252","Clark St & Henry St",5980
"253","Franklin St & W Broadway",5978
"254","W 82 St & Central Park West",5938
"255","Old Slip & Front St",5926
"256","Avenue C & E 18 St",5826
"257","Central Park West & W 100 St",5794
"258","W 50 St & 9 Ave",5790
"259","E 51 St & Lexington Ave",5671
"260","Cadman Plaza E & Red Cross Pl",5624
"261","E 74 St & 1 Ave",5624
"262","E 5 St & Avenue C",5613
"263","Madison Ave & E 82 St",5611
"264","Lexington Ave & E 36 St",5607
"265","Vernon Blvd & 50 Ave",5558
"266","2 Ave & E 96 St",5538
"267","Schermerhorn St & Bond St",5537
"268","Clinton Ave & Myrtle Ave",5525
"269","5 Ave & E 103 St",5517
"270","Fulton St & William St",5497
"271","E 48 St & 3 Ave",5489
"272","W 84 St & Columbus Ave",5485
"273","2 Ave & E 72 St",5470
"274","Lawrence St & Willoughby St",5467
"275","Dean St & 4 Ave",5451
"276","DeKalb Ave & Hudson Ave",5404
"277","Leonard St & Church St",5395
"278","Cherry St",5387
"279","N 12 St & Bedford Ave",5376
"280","Graham Ave & Conselyea St",5347
"281","W 43 St & 6 Ave",5337
"282","Kent Ave & S 11 St",5314
"283","Meserole Ave & Manhattan Ave",5314
"284","Greenpoint Ave & Manhattan Ave",5302
"285","Soissons Landing",5264
"286","Willoughby St & Fleet St",5259
"287","E 51 St & 1 Ave",5237
"288","Union Ave & N 12 St",5215
"289","3 St & Prospect Park West",5213
"290","Pike St & Monroe St",5195
"291","Grand St & Havemeyer St",5181
"292","West Thames St",5159
"293","Avenue D & E 3 St",5152
"294","Hicks St & Montague St",5144
"295","W 84 St & Broadway",5140
"296","Spruce St & Nassau St",5140
"297","W 15 St & 6 Ave",5130
"298","Pearl St & Hanover Square",5124
"299","Nassau Ave & Russell St",5106
"300","Jay St & Tech Pl",5092
"301","E 84 St & 1 Ave",5087
"302","Park Ave & E 124 St",5081
"303","Maiden Ln & Pearl St",5063
"304","W 76 St & Columbus Ave",5032
"305","Catherine St & Monroe St",5031
"306","Reade St & Broadway",5022
"307","E 58 St &  1 Ave (NW Corner)",5008
"308","W 100 St & Broadway",4996
"309","Lexington Ave & E 63 St",4961
"310","W 89 St & Columbus Ave",4958
"311","Riverside Dr & W 78 St",4953
"312","Clinton St & Joralemon St",4887
"313","Riverside Dr & W 82 St",4867
"314","Broadway & Roebling St",4863
"315","Centre St & Worth St",4837
"316","E 91 St & 2 Ave",4785
"317","7 Ave & Park Pl",4754
"318","McGuinness Blvd & Eagle St",4684
"319","St James Pl & Oliver St",4655
"320","Yankee Ferry Terminal",4604
"321","William St & Pine St",4600
"322","Huron St & Franklin St",4593
"323","E 88 St & 1 Ave",4573
"324","Berkeley Pl & 7 Ave",4563
"325","Park Pl & Church St",4544
"326","Plaza St West & Flatbush Ave",4541
"327","Madison St & Clinton St",4541
"328","W 106 St & Central Park West",4540
"329","E 43 St & 2 Ave",4491
"330","Henry St & Atlantic Ave",4487
"331","Avenue D & E 8 St",4478
"332","Water - Whitehall Plaza",4468
"333","W 78 St & Broadway",4426
"334","E 102 St & 1 Ave",4419
"335","Duane St & Greenwich St",4408
"336","Metropolitan Ave & Meeker Ave",4380
"337","5 Ave & E 63 St",4380
"338","Frederick Douglass Blvd & W 117 St",4380
"339","Lafayette Ave & Fort Greene Pl",4377
"340","Columbia St & Rivington St",4373
"341","Frederick Douglass Blvd & W 112 St",4366
"342","5 Ave & E 93 St",4339
"343","Broadway & Moylan Pl",4290
"344","Carroll St & Smith St",4279
"345","E 47 St & 1 Ave",4272
"346","Cadman Plaza West & Montague St",4260
"347","E 72 St & Park Ave",4258
"348","John St & William St",4235
"349","Roebling St & N 4 St",4213
"350","Hope St & Union Ave",4209
"351","Pearl St & Anchorage Pl",4202
"352","Atlantic Ave & Fort Greene Pl",4191
"353","DeKalb Ave & S Portland Ave",4173
