"","station.name","total"
"1","Pershing Square North",21808
"2","8 Ave & W 31 St",17155
"3","Broadway & E 22 St",16571
"4","W 21 St & 6 Ave",16478
"5","E 17 St & Broadway",16269
"6","Broadway & E 14 St",14262
"7","8 Ave & W 33 St",14065
"8","W 16 St & 8 Ave",12593
"9","Lafayette St & E 8 St",12241
"10","W 38 St & 8 Ave",12222
"11","E 47 St & Park Ave",12206
"12","W 41 St & 8 Ave",12144
"13","Broadway & W 60 St",12124
"14","W 20 St & 11 Ave",11966
"15","W 33 St & 7 Ave",11893
"16","Broadway & W 25 St",11810
"17","W 31 St & 7 Ave",11757
"18","Christopher St & Greenwich St",11573
"19","6 Ave & W 33 St",11444
"20","Cooper Square & Astor Pl",11327
"21","Broadway & W 41 St",11306
"22","1 Ave & E 16 St",10953
"23","Grand St & Elizabeth St",10936
"24","Carmine St & 6 Ave",10919
"25","West St & Chambers St",10914
"26","University Pl & E 14 St",10843
"27","E 13 St & Avenue A",10726
"28","Broadway & W 56 St",10617
"29","Great Jones St",10609
"30","Cleveland Pl & Spring St",10424
"31","W 18 St & 6 Ave",10093
"32","Grand Army Plaza & Central Park S",9973
"33","Lexington Ave & E 26 St",9734
"34","E 24 St & Park Ave S",9646
"35","9 Ave & W 22 St",9627
"36","E 32 St & Park Ave",9544
"37","W 24 St & 7 Ave",9493
"38","Broadway & W 49 St",9421
"39","W 52 St & 6 Ave",9383
"40","E 7 St & Avenue A",9322
"41","E 10 St & Avenue A",9320
"42","Pershing Square South",9251
"43","W 27 St & 7 Ave",9242
"44","W 26 St & 8 Ave",9044
"45","1 Ave & E 68 St",8972
"46","E 15 St & 3 Ave",8943
"47","South End Ave & Liberty St",8936
"48","12 Ave & W 40 St",8929
"49","W 25 St & 6 Ave",8896
"50","E 33 St & 1 Ave",8851
"51","W 27 St & 10 Ave",8822
"52","Broadway & W 32 St",8792
"53","E 25 St & 2 Ave",8754
"54","9 Ave & W 45 St",8754
"55","Broadway & W 29 St",8702
"56","E 11 St & 1 Ave",8662
"57","E 20 St & 2 Ave",8638
"58","Lafayette St & Jersey St",8590
"59","E 11 St & 2 Ave",8590
"60","2 Ave & E 31 St",8535
"61","1 Ave & E 18 St",8533
"62","MacDougal St & Prince St",8485
"63","E 16 St & 5 Ave",8464
"64","E 23 St & 1 Ave",8384
"65","Allen St & Stanton St",8380
"66","W 4 St & 7 Ave S",8371
"67","Vesey Pl & River Terrace",8306
"68","E 20 St & FDR Drive",8261
"69","E 31 St & 3 Ave",8256
"70","Barrow St & Hudson St",8246
"71","St Marks Pl & 2 Ave",8224
"72","Gansevoort St & Hudson St",8181
"73","St Marks Pl & 1 Ave",8119
"74","E 39 St & 2 Ave",8066
"75","W 22 St & 10 Ave",8045
"76","E 48 St & 5 Ave",8013
"77","Central Park S & 6 Ave",8003
"78","North Moore St & Greenwich St",7992
"79","5 Ave & E 29 St",7969
"80","W 13 St & 7 Ave",7947
"81","Canal St & Rutgers St",7927
"82","W 22 St & 8 Ave",7849
"83","E 4 St & 2 Ave",7813
"84","Amsterdam Ave & W 73 St",7801
"85","Washington St & Gansevoort St",7771
"86","11 Ave & W 27 St",7724
"87","Columbus Ave & W 72 St",7640
"88","E 6 St & Avenue B",7638
"89","W 15 St & 7 Ave",7580
"90","W 20 St & 7 Ave",7564
"91","Clinton St & Grand St",7473
"92","Central Park West & W 72 St",7422
"93","8 Ave & W 52 St",7409
"94","W 34 St & 11 Ave",7391
"95","Centre St & Chambers St",7352
"96","11 Ave & W 41 St",7305
"97","E 20 St & Park Ave",7272
"98","E 2 St & Avenue A",7183
"99","E 33 St & 5 Ave",7178
"100","LaGuardia Pl & W 3 St",7175
"101","W 49 St & 8 Ave",7170
"102","Forsyth St & Broome St",7150
"103","W 42 St & 8 Ave",7140
"104","E 39 St & 3 Ave",7052
"105","W 20 St & 8 Ave",7024
"106","Allen St & Rivington St",6993
"107","Allen St & Hester St",6979
"108","E 2 St & Avenue B",6958
"109","W 16 St & The High Line",6950
"110","W 43 St & 10 Ave",6940
"111","E 41 St & Madison Ave",6939
"112","W 42 St & Dyer Ave",6918
"113","W 45 St & 8 Ave",6912
"114","W 15 St & 6 Ave",6909
"115","Greenwich St & W Houston St",6874
"116","W 13 St & 5 Ave",6831
"117","University Pl & E 8 St",6807
"118","6 Ave & Canal St",6790
"119","1 Ave & E 78 St",6774
"120","Mott St & Prince St",6677
"121","W 63 St & Broadway",6653
