"","age","count"
"1",51,213765
"2",30,90610
"3",31,90164
"4",28,86438
"5",29,85401
"6",32,85287
"7",27,78876
"8",33,75494
"9",34,70476
"10",26,69483
"11",35,68283
"12",36,62131
"13",25,58586
"14",37,57643
"15",38,52279
"16",39,49573
"17",40,46270
"18",41,43292
"19",42,37459
"20",43,35947
"21",44,35569
"22",24,35338
"23",45,34512
"24",50,33529
"25",46,32262
"26",48,32188
"27",47,31214
"28",49,31182
"29",52,28187
"30",53,27361
"31",54,25848
"32",55,25691
"33",56,25103
"34",57,23435
"35",58,22720
"36",23,21381
"37",60,19722
"38",59,18621
"39",22,18228
"40",61,15675
"41",21,15120
"42",62,14144
"43",63,12944
"44",20,12436
"45",64,11274
"46",65,9228
"47",66,8472
"48",67,7160
"49",19,6847
"50",68,4824
"51",69,4419
"52",70,3263
"53",72,2521
"54",71,2499
"55",18,2472
"56",73,2330
"57",74,1907
"58",75,1107
"59",76,917
"60",17,869
"61",78,850
"62",77,791
"63",79,612
"64",80,450
"65",83,370
"66",120,321
"67",84,276
"68",81,244
"69",85,192
"70",82,160
"71",90,146
"72",88,137
"73",132,108
"74",119,76
"75",87,63
"76",96,57
"77",130,53
"78",131,51
"79",133,44
"80",86,42
"81",124,40
"82",103,37
"83",109,36
"84",134,34
"85",135,29
"86",127,27
"87",121,22
"88",92,20
"89",99,15
"90",102,15
"91",108,12
"92",89,8
"93",98,7
"94",110,7
"95",105,6
"96",113,6
"97",101,5
"98",94,4
"99",111,4
"100",125,4
"101",100,3
"102",123,3
"103",97,2
"104",104,2
"105",91,1
"106",107,1
"107",117,1
