"","age","count"
"1",51,137524
"2",30,50188
"3",32,50064
"4",31,49743
"5",29,48099
"6",33,47095
"7",35,46717
"8",34,45534
"9",28,43958
"10",36,40572
"11",27,39113
"12",37,38305
"13",38,35687
"14",39,34020
"15",40,30549
"16",41,28810
"17",42,27890
"18",26,27623
"19",43,25418
"20",44,24577
"21",50,24536
"22",45,23758
"23",49,22479
"24",46,22219
"25",47,21873
"26",48,21257
"27",52,19908
"28",53,19439
"29",25,19286
"30",54,17994
"31",57,17712
"32",56,17499
"33",55,17454
"34",58,16455
"35",60,14974
"36",59,13672
"37",61,13500
"38",62,11330
"39",24,11312
"40",63,9984
"41",64,9624
"42",23,9028
"43",65,7407
"44",22,7352
"45",66,7091
"46",67,6307
"47",21,4743
"48",68,3997
"49",69,3620
"50",70,2808
"51",20,2731
"52",72,2126
"53",71,2039
"54",73,1736
"55",74,1575
"56",19,1221
"57",75,791
"58",78,751
"59",77,707
"60",76,687
"61",120,656
"62",79,544
"63",80,341
"64",18,202
"65",97,190
"66",81,171
"67",83,161
"68",133,120
"69",82,96
"70",86,82
"71",88,60
"72",121,37
"73",126,36
"74",84,35
"75",85,31
"76",110,31
"77",99,29
"78",108,28
"79",119,26
"80",135,24
"81",132,23
"82",134,22
"83",87,21
"84",90,21
"85",91,21
"86",89,18
"87",101,14
"88",103,14
"89",102,11
"90",105,3
"91",130,3
"92",123,2
"93",92,1
"94",104,1
