"","age","count"
"1",51,184070
"2",31,78592
"3",30,78188
"4",32,77307
"5",29,74387
"6",28,72917
"7",33,68763
"8",27,68371
"9",34,62380
"10",35,61446
"11",26,59224
"12",36,57294
"13",37,53156
"14",25,48943
"15",38,48832
"16",39,46639
"17",40,41924
"18",41,41522
"19",42,35381
"20",43,34843
"21",44,33928
"22",50,33605
"23",45,32699
"24",46,31631
"25",48,31146
"26",49,30201
"27",47,29995
"28",24,28341
"29",52,27624
"30",53,27329
"31",54,25452
"32",55,24911
"33",56,24357
"34",57,22631
"35",58,21417
"36",60,18809
"37",59,18150
"38",23,17839
"39",61,15388
"40",22,13902
"41",62,13854
"42",21,13300
"43",63,12413
"44",64,11115
"45",20,9720
"46",65,8703
"47",66,8228
"48",67,7507
"49",19,5382
"50",68,5024
"51",69,4460
"52",70,3260
"53",71,2571
"54",72,2517
"55",73,2193
"56",18,1725
"57",74,1686
"58",75,1072
"59",78,970
"60",76,882
"61",77,833
"62",79,567
"63",120,358
"64",80,352
"65",17,322
"66",83,318
"67",84,292
"68",82,205
"69",81,163
"70",132,122
"71",88,108
"72",90,99
"73",85,93
"74",119,74
"75",130,68
"76",131,49
"77",96,48
"78",87,43
"79",133,34
"80",86,32
"81",134,32
"82",103,28
"83",124,24
"84",99,23
"85",121,23
"86",135,22
"87",110,18
"88",104,12
"89",108,12
"90",113,11
"91",126,9
"92",125,8
"93",89,6
"94",94,6
"95",105,6
"96",109,6
"97",92,4
"98",102,4
"99",93,2
"100",111,2
"101",127,2
"102",91,1
"103",97,1
"104",98,1
"105",101,1
"106",107,1
"107",114,1
"108",115,1
