"","age","count"
"1",51,73918
"2",32,37188
"3",31,36803
"4",30,36414
"5",35,34774
"6",34,34669
"7",33,34646
"8",29,34261
"9",36,31412
"10",28,31233
"11",37,29724
"12",38,28399
"13",27,27006
"14",39,26626
"15",40,23490
"16",41,23182
"17",42,21613
"18",50,20507
"19",43,19918
"20",44,19759
"21",47,18769
"22",45,18462
"23",26,18195
"24",46,18061
"25",49,17616
"26",48,17251
"27",52,17180
"28",53,15620
"29",54,15034
"30",56,15000
"31",55,14691
"32",57,14573
"33",58,13543
"34",25,12854
"35",60,12312
"36",59,11700
"37",61,10948
"38",62,9824
"39",63,8942
"40",24,8187
"41",64,7668
"42",23,6346
"43",65,6123
"44",66,6085
"45",22,5066
"46",67,4881
"47",68,3340
"48",69,3191
"49",21,3130
"50",70,2407
"51",20,1828
"52",71,1731
"53",72,1703
"54",73,1499
"55",74,1390
"56",19,947
"57",78,756
"58",75,638
"59",76,627
"60",120,531
"61",77,517
"62",79,514
"63",80,272
"64",83,189
"65",97,150
"66",82,115
"67",81,109
"68",18,81
"69",133,61
"70",88,58
"71",86,55
"72",84,52
"73",110,40
"74",126,34
"75",87,30
"76",108,28
"77",85,26
"78",99,24
"79",119,18
"80",135,18
"81",132,16
"82",91,12
"83",101,11
"84",121,11
"85",89,8
"86",102,7
"87",104,7
"88",113,7
"89",134,7
"90",103,2
"91",130,2
