"","days","liczba"
"1","01",9251
"2","02",8931
"3","03",10406
"4","04",10508
"5","05",10347
"6","06",10435
"7","07",10497
"8","08",9585
"9","09",9511
"10","10",8840
"11","11",10483
"12","12",10578
"13","13",8371
"14","14",10337
"15","15",9473
"16","16",8977
"17","17",10370
"18","18",8206
"19","19",10023
"20","20",10016
"21","21",9906
"22","22",9603
"23","23",9695
"24","24",10956
"25","25",9842
"26","26",10815
"27","27",10659
"28","28",10253
"29","29",9057
"30","30",9456
