"","days","liczba"
"1","01",9558
"2","02",9951
"3","03",10442
"4","04",10311
"5","05",8652
"6","06",10112
"7","07",9948
"8","08",10702
"9","09",9918
"10","10",10628
"11","11",10175
"12","12",9967
"13","13",10120
"14","14",8693
"15","15",8591
"16","16",9423
"17","17",9355
"18","18",9276
"19","19",9324
"20","20",7802
"21","21",8688
"22","22",8957
"23","23",10222
"24","24",10288
"25","25",9745
"26","26",8236
"27","27",9100
"28","28",7991
"29","29",9564
"30","30",9477
