"","days","liczba"
"1","01",10147
"2","02",10106
"3","03",9805
"4","04",9582
"5","05",9141
"6","06",8260
"7","07",9421
"8","08",9562
"9","09",9607
"10","10",9268
"11","11",9521
"12","12",7402
"13","13",6634
"14","14",9210
"15","15",9068
"16","16",8115
"17","17",8893
"18","18",9235
"19","19",5340
"20","20",8433
"21","21",9531
"22","22",8853
"23","23",9466
"24","24",9427
"25","25",9267
"26","26",8261
"27","27",6380
"28","28",8313
"29","29",9508
"30","30",9438
"31","31",8842
