"STATION","NAME","DATE","DAPR","MDPR","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00280907","BOONTON 1 SE, NJ US","2018-03-01",,,"0.00",,"0.0","0.0",,"58","32","39",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-02",,,"1.05",,"0.0","0.0",,"60","37","37",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-03",,,"1.00",,,"0.0",,"37","32","34",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-04",,,"0.00",,"0.0","0.0",,"43","34","37",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-05",,,"0.00",,"0.0","0.0",,"42","30","30",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-06",,,"0.00",,"0.0","0.0",,"43","28","29",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-07",,,"0.13",,"1.0","1.0",,"48","29","32",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-08",,,"1.92",,,"12.0",,"34","31","34",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-09",,,"0.00",,"0.0","9.0",,"38","27","29",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-10",,,"0.00",,"0.0","7.0",,"40","29","32",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-11",,,"0.00",,"0.0","7.0",,"37","24","27",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-12",,,"0.00",,"0.0",,,"42","25","25",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-13",,,"0.16",,"2.0","8.0",,"42","25","32",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-14",,,"0.02",,"0.0","4.0",,"38","29","29",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-15",,,"0.00",,"0.0","4.0",,"38","28","31",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-16",,,"0.00",,"0.0","2.0",,"44","30","31",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-17",,,"0.00",,"0.0","0.0",,"39","25","26",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-18",,,"0.00",,"0.0","0.0",,"45","25","28",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-19",,,"0.00",,"0.0","0.0",,"41","24","26",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-20",,,"0.00",,"0.0","0.0",,"44","26","27",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-21",,,"0.00",,"0.0","0.0",,"37","27","33",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-22",,,"0.68",,"7.0","7.0",,"35","29","32",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-23",,,"0.00",,"0.0","2.0",,"48","32","34",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-24",,,"0.00",,"0.0",,,"48","33","33",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-25",,,"0.00",,"0.0",,,"47","30","31",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-26",,,"0.00",,"0.0",,,"43","25","28",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-27",,,"0.00",,"0.0","0.0",,"50","26","26",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-28",,,"0.11",,"0.0","0.0",,"44","26","35",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-29",,,"0.00",,"0.0","0.0",,"51","35","45",
"USC00280907","BOONTON 1 SE, NJ US","2018-03-30",,,"0.09",,"0.0","0.0",,"51","45","46",
