"","station.name","total"
"1","Pershing Square North",105602
"2","W 21 St & 6 Ave",77239
"3","Broadway & E 22 St",77125
"4","E 17 St & Broadway",76656
"5","West St & Chambers St",73365
"6","Broadway & E 14 St",65506
"7","W 41 St & 8 Ave",64927
"8","W 33 St & 7 Ave",62075
"9","Central Park S & 6 Ave",61021
"10","Broadway & W 60 St",59953
"11","12 Ave & W 40 St",59504
"12","Carmine St & 6 Ave",56952
"13","Christopher St & Greenwich St",56284
"14","Lafayette St & E 8 St",56159
"15","Grand Army Plaza & Central Park S",54631
"16","South End Ave & Liberty St",54157
"17","W 31 St & 7 Ave",54142
"18","8 Ave & W 33 St",54011
"19","6 Ave & W 33 St",53965
"20","Great Jones St",52423
"21","Centre St & Chambers St",51588
"22","University Pl & E 14 St",51580
"23","Cooper Square & Astor Pl",51548
"24","E 47 St & Park Ave",51463
"25","W 22 St & 10 Ave",51445
"26","Broadway & W 25 St",51237
"27","W 15 St & 7 Ave",51191
"28","Broadway & W 58 St",50593
"29","W 18 St & 6 Ave",50371
"30","Broadway & W 41 St",50363
"31","Cleveland Pl & Spring St",49842
"32","W 22 St & 8 Ave",49434
"33","Grand St & Elizabeth St",46577
"34","Washington St & Gansevoort St",45815
"35","Vesey Pl & River Terrace",45646
"36","1 Ave & E 16 St",45460
"37","Lexington Ave & E 24 St",44818
"38","E 7 St & Avenue A",44168
"39","W 24 St & 7 Ave",43968
"40","MacDougal St & Prince St",43951
"41","W 27 St & 7 Ave",43932
"42","E 10 St & Avenue A",43756
"43","E 32 St & Park Ave",43715
"44","9 Ave & W 22 St",43603
"45","Broadway & W 49 St",43570
"46","Barrow St & Hudson St",42322
"47","W 26 St & 8 Ave",42291
"48","Broadway & W 32 St",41544
"49","9 Ave & W 45 St",41457
"50","Lafayette St & Jersey St",41233
"51","11 Ave & W 27 St",41153
"52","W 49 St & 8 Ave",41079
"53","8 Ave & W 31 St",41004
"54","Central Park West & W 72 St",40947
"55","E 16 St & 5 Ave",40566
"56","Columbus Ave & W 72 St",39866
"57","Pier 40 - Hudson River Park",39675
"58","E 24 St & Park Ave S",39654
"59","W 20 St & 11 Ave",39235
"60","LaGuardia Pl & W 3 St",38965
"61","1 Ave & E 68 St",38790
"62","Pershing Square South",38351
"63","Broadway & W 29 St",38213
"64","W 27 St & 10 Ave",38141
"65","W 25 St & 6 Ave",38091
"66","E 48 St & 5 Ave",38021
"67","Central Park West & W 68 St",37941
"68","E 12 St & 3 Ave",37861
"69","Greenwich St & W Houston St",37195
"70","E 15 St & 3 Ave",37186
"71","E 11 St & 2 Ave",37025
"72","W 38 St & 8 Ave",36744
"73","Mott St & Prince St",36721
"74","E 39 St & 2 Ave",36691
"75","5 Ave & E 29 St",36530
"76","Canal St & Rutgers St",36422
"77","E 23 St & 1 Ave",36178
"78","Amsterdam Ave & W 73 St",36151
"79","Greenwich Ave & Charles St",36140
"80","Mercer St & Bleecker St",36139
"81","St Marks Pl & 2 Ave",36092
"82","Little West St & 1 Pl",36082
"83","Broadway & Battery Pl",35710
"84","Forsyth St & Broome St",35573
"85","E 25 St & 2 Ave",35343
"86","St Marks Pl & 1 Ave",35341
"87","Allen St & Stanton St",34510
"88","E 13 St & Avenue A",34497
"89","Barclay St & Church St",34298
"90","E 20 St & 2 Ave",34245
"91","5 Ave & E 88 St",34227
"92","Lexington Ave & E 29 St",34194
"93","South St & Gouverneur Ln",33987
"94","E 20 St & FDR Drive",33777
"95","W 16 St & The High Line",33648
"96","Allen St & Rivington St",33588
"97","Broadway & W 56 St",33530
"98","W 45 St & 8 Ave",33118
"99","8 Ave & W 52 St",32944
"100","FDR Drive & E 35 St",32815
"101","Suffolk St & Stanton St",32804
"102","Stanton St & Chrystie St",32390
"103","W 42 St & 8 Ave",32370
"104","E 2 St & 2 Ave",32338
"105","W 36 St & 9 Ave",32238
"106","E 11 St & 1 Ave",32055
"107","Sullivan St & Washington Sq",31850
"108","E 33 St & 2 Ave",31835
"109","11 Ave & W 41 St",31772
"110","5 Ave & E 73 St",31666
"111","1 Ave & E 30 St",31502
"112","1 Ave & E 18 St",31474
"113","E 4 St & 2 Ave",31059
"114","W 16 St & 8 Ave",31035
"115","Central Park West & W 85 St",30959
"116","2 Ave & E 31 St",30898
"117","6 Ave & Canal St",30637
"118","E 31 St & 3 Ave",30473
"119","E 53 St & Madison Ave",30418
"120","University Pl & E 8 St",30296
"121","Allen St & Hester St",30084
"122","Forsyth St & Canal St",30036
"123","W 63 St & Broadway",29973
"124","11 Ave & W 59 St",29958
"125","Bank St & Hudson St",29768
"126","W 43 St & 6 Ave",29567
"127","W 43 St & 10 Ave",29519
"128","E 39 St & 3 Ave",29266
"129","Broadway & W 53 St",29265
"130","W 52 St & 6 Ave",29179
"131","W 26 St & 10 Ave",29138
"132","E 58 St & 3 Ave",28984
"133","Kent Ave & N 7 St",28953
"134","E 12 St & Avenue B",28931
"135","W 15 St & 10 Ave",28844
"136","W 67 St & Broadway",28675
"137","E 55 St & 3 Ave",28675
"138","Broadway & W 36 St",28648
"139","W 34 St & 11 Ave",28599
"140","Howard St & Centre St",28587
"141","W 47 St & 10 Ave",28480
"142","North Moore St & Greenwich St",28316
"143","W 37 St & 10 Ave",28282
"144","W 42 St & Dyer Ave",28261
"145","Fulton St & Broadway",28255
"146","W 52 St & 11 Ave",28245
"147","Metropolitan Ave & Bedford Ave",28170
"148","E 2 St & Avenue B",27907
"149","1 Ave & E 62 St",27786
"150","West Thames St",27623
"151","Washington Pl & Broadway",27598
"152","Hanson Pl & Ashland Pl",27574
