"","odl_od_timessquare","start.station.name","count"
"1",0.947216743869403,"Pershing Square North",52899
"2",1.93929535806206,"W 21 St & 6 Ave",38322
"3",1.98393472902406,"Broadway & E 22 St",38066
"4",2.35242168298803,"E 17 St & Broadway",37851
"5",5.05535909600203,"West St & Chambers St",35477
"6",2.6358579167636,"Broadway & E 14 St",32629
"7",0.409653129182537,"W 41 St & 8 Ave",32508
"8",1.17939517599852,"Central Park S & 6 Ave",30551
"9",0.970431645904033,"W 33 St & 7 Ave",30388
"10",1.28370161126109,"Broadway & W 60 St",30202
"11",1.48161821942457,"12 Ave & W 40 St",29348
"12",1.23101491745318,"Grand Army Plaza & Central Park S",29185
"13",3.3642803050304,"Carmine St & 6 Ave",28100
"14",3.31882754587428,"Christopher St & Greenwich St",28015
"15",3.11591061283985,"Lafayette St & E 8 St",27734
"16",5.75041925486636,"South End Ave & Liberty St",27043
"17",0.998227300596679,"8 Ave & W 33 St",27013
"18",1.09934329499329,"W 31 St & 7 Ave",26996
"19",1.02173215634249,"6 Ave & W 33 St",26879
"20",0.9478318920252,"E 47 St & Park Ave",25981
"21",1.70219490073179,"Broadway & W 25 St",25850
"22",5.27263945200224,"Centre St & Chambers St",25834
"23",3.45969864751658,"Great Jones St",25825
"24",1.05371270995774,"Broadway & W 58 St",25529
"25",2.00900489565512,"W 22 St & 10 Ave",25522
"26",2.61391534759523,"University Pl & E 14 St",25420
"27",3.18874440992425,"Cooper Square & Astor Pl",25388
"28",2.36638806221174,"W 15 St & 7 Ave",25304
"29",0.322819094477445,"Broadway & W 41 St",25199
"30",4.10157895547746,"Cleveland Pl & Spring St",24878
"31",2.16179549959398,"W 18 St & 6 Ave",24812
"32",1.85749676969805,"W 22 St & 8 Ave",24681
"33",4.43392475892503,"Grand St & Elizabeth St",23338
"34",2.19562476996449,"Columbus Ave & W 72 St",23117
"35",2.8061212615633,"Washington St & Gansevoort St",22891
"36",3.52879281974578,"E 7 St & Avenue A",22888
"37",5.40548357693338,"Vesey Pl & River Terrace",22815
"38",2.87798615089451,"1 Ave & E 16 St",22598
"39",1.96940944884616,"Lexington Ave & E 24 St",22467
"40",1.43720404414924,"W 27 St & 7 Ave",21975
"41",1.66579574539852,"W 24 St & 7 Ave",21942
"42",1.39371772742557,"E 32 St & Park Ave",21895
"43",0.317485845276953,"Broadway & W 49 St",21729
"44",3.72606475000761,"MacDougal St & Prince St",21685
"45",1.9523042160167,"9 Ave & W 22 St",21630
"46",1.53139994332767,"W 26 St & 8 Ave",21102
"47",3.41421061044007,"Barrow St & Hudson St",21002
"48",1.06479293510751,"Broadway & W 32 St",20972
"49",2.13525180478919,"Central Park West & W 72 St",20903
"50",0.537227621440001,"9 Ave & W 45 St",20687
"51",0.517642011026198,"W 49 St & 8 Ave",20608
"52",3.83933824540667,"Lafayette St & Jersey St",20575
"53",1.11941086480817,"8 Ave & W 31 St",20285
"54",1.80488711682596,"11 Ave & W 27 St",19980
"55",2.36823757540647,"E 16 St & 5 Ave",19896
"56",1.88728587785143,"E 24 St & Park Ave S",19880
"57",1.83858963181166,"Central Park West & W 68 St",19819
"58",3.99538585557857,"Pier 40 - Hudson River Park",19746
"59",3.41151185948992,"E 10 St & Avenue A",19629
"60",0.958917513873582,"Pershing Square South",19480
"61",2.43746599690078,"1 Ave & E 68 St",19332
"62",3.3661326984059,"LaGuardia Pl & W 3 St",19279
"63",2.24187606769091,"W 20 St & 11 Ave",19206
"64",1.32847165423366,"Broadway & W 29 St",19123
"65",1.6306624025448,"W 25 St & 6 Ave",18994
"66",1.64074683003592,"W 27 St & 10 Ave",18987
"67",0.639794930132649,"E 48 St & 5 Ave",18970
"68",2.87058753681179,"E 12 St & 3 Ave",18841
"69",2.63732720423807,"E 15 St & 3 Ave",18570
"70",3.05413393851692,"E 11 St & 2 Ave",18442
"71",1.52249847955499,"E 39 St & 2 Ave",18415
"72",2.44570255300725,"Amsterdam Ave & W 73 St",18405
"73",3.7683682256489,"Greenwich St & W Houston St",18352
"74",0.607670834483928,"W 38 St & 8 Ave",18340
"75",1.4235641356344,"5 Ave & E 29 St",18310
"76",3.93995627041564,"Mott St & Prince St",18264
"77",4.86608890525473,"Canal St & Rutgers St",18239
"78",2.46517917759329,"E 23 St & 1 Ave",18092
"79",3.18316187875979,"E 13 St & Avenue A",18048
"80",6.37204590322048,"Little West St & 1 Pl",18036
"81",3.55468773380296,"Mercer St & Bleecker St",17876
"82",2.80911577436175,"Greenwich Ave & Charles St",17813
"83",2.14868531333309,"E 25 St & 2 Ave",17795
"84",4.37489932892086,"Forsyth St & Broome St",17764
"85",3.28351949818098,"St Marks Pl & 2 Ave",17579
"86",2.87845966049332,"E 20 St & FDR Drive",17544
"87",3.35068577528123,"St Marks Pl & 1 Ave",17378
"88",3.99901212875007,"Allen St & Stanton St",17222
"89",2.47040240658148,"E 20 St & 2 Ave",17138
"90",5.41572809699402,"Barclay St & Church St",17098
"91",1.67325139979338,"Lexington Ave & E 29 St",17073
"92",3.55826056313748,"5 Ave & E 88 St",17038
"93",6.29965140101143,"South St & Gouverneur Ln",16874
"94",2.41233569803807,"W 16 St & The High Line",16833
"95",4.21083204175909,"Allen St & Rivington St",16816
"96",0.87043359972016,"Broadway & W 56 St",16789
"97",6.37633975492153,"Broadway & Battery Pl",16597
"98",0.292952720643287,"W 45 St & 8 Ave",16550
"99",0.641399008809794,"8 Ave & W 52 St",16531
"100",4.14277202517392,"Suffolk St & Stanton St",16354
"101",1.94783433918509,"FDR Drive & E 35 St",16335
"102",0.88558552328517,"W 36 St & 9 Ave",16108
"103",0.454842788324489,"W 42 St & 8 Ave",16083
"104",3.99232102106826,"Stanton St & Chrystie St",16044
"105",3.68269586156697,"E 2 St & 2 Ave",16011
"106",3.15855021511186,"E 11 St & 1 Ave",15970
"107",1.74334552055765,"E 33 St & 2 Ave",15956
"108",2.28595585959472,"5 Ave & E 73 St",15840
"109",1.14459002968308,"11 Ave & W 41 St",15817
"110",2.71525774066022,"1 Ave & E 18 St",15775
"111",1.5422869066637,"W 63 St & Broadway",15768
