"","weekday","usertype","count"
"1","czwartek","Customer",74467
"2","czwartek","Subscriber",886748
"3","niedziela","Customer",124247
"4","niedziela","Subscriber",521884
"5","pi¹tek","Customer",102363
"6","pi¹tek","Subscriber",860863
"7","poniedzia³ek","Customer",83291
"8","poniedzia³ek","Subscriber",773308
"9","sobota","Customer",188600
"10","sobota","Subscriber",647229
"11","œroda","Customer",64711
"12","œroda","Subscriber",801673
"13","wtorek","Customer",71576
"14","wtorek","Subscriber",861068
