"","age","count"
"1",51,652808
"2",32,237537
"3",30,231865
"4",31,231749
"5",33,221862
"6",29,221073
"7",34,214034
"8",35,213619
"9",28,205440
"10",36,190510
"11",27,182024
"12",37,177657
"13",38,170370
"14",39,158827
"15",40,143559
"16",41,135100
"17",26,133067
"18",42,125182
"19",43,117921
"20",44,114226
"21",50,112111
"22",45,109026
"23",49,103924
"24",46,103476
"25",47,103356
"26",48,98227
"27",52,92503
"28",53,89730
"29",25,89535
"30",54,82215
"31",55,81096
"32",56,79621
"33",57,78483
"34",58,73381
"35",60,66082
"36",59,62573
"37",61,57909
"38",62,50336
"39",24,50316
"40",63,47298
"41",64,41546
"42",23,40474
"43",65,32086
"44",22,31491
"45",66,31107
"46",67,26405
"47",21,22920
"48",68,17664
"49",69,16193
"50",20,13008
"51",70,12687
"52",72,9514
"53",71,9152
"54",73,8218
"55",74,6891
"56",19,6196
"57",75,3439
"58",76,3286
"59",78,3189
"60",120,3087
"61",77,2566
"62",79,2492
"63",80,1787
"64",18,1265
"65",83,702
"66",81,619
"67",97,571
"68",82,551
"69",133,347
"70",88,313
"71",86,301
"72",84,287
"73",85,249
"74",108,190
"75",126,169
"76",119,155
"77",87,152
"78",110,130
"79",132,118
"80",121,102
"81",135,100
"82",134,81
"83",99,74
"84",89,68
"85",91,64
"86",125,56
"87",102,55
"88",101,49
"89",103,45
"90",96,43
"91",90,27
"92",104,25
"93",130,23
"94",94,13
"95",131,12
"96",107,11
"97",109,11
"98",113,8
"99",123,5
"100",105,4
"101",127,4
"102",95,2
"103",92,1
