"","X","days","liczba"
"1",1,2019-03-01,7541
"2",2,2019-03-02,2914
"3",3,2019-03-03,6111
"4",4,2019-03-04,5741
"5",5,2019-03-05,7205
"6",6,2019-03-06,7558
"7",7,2019-03-07,3746
"8",8,2019-03-08,6511
"9",9,2019-03-09,7009
"10",10,2019-03-10,6011
"11",11,2019-03-11,6226
"12",12,2019-03-12,7306
"13",13,2019-03-13,5848
"14",14,2019-03-14,7078
"15",15,2019-03-15,7483
"16",16,2019-03-16,7052
"17",17,2019-03-17,6466
"18",18,2019-03-18,6239
"19",19,2019-03-19,7721
"20",20,2019-03-20,7418
"21",21,2019-03-21,2379
"22",22,2019-03-22,6437
"23",23,2019-03-23,7497
"24",24,2019-03-24,7255
"25",25,2019-03-25,6384
"26",26,2019-03-26,7877
"27",27,2019-03-27,7964
"28",28,2019-03-28,7860
"29",29,2019-03-29,7689
"30",30,2019-03-30,7252
"31",31,2019-03-31,7812
"32",1,2019-04-01,7383
"33",2,2019-04-02,6183
"34",3,2019-04-03,7162
"35",4,2019-04-04,7994
"36",5,2019-04-05,8034
"37",6,2019-04-06,7363
"38",7,2019-04-07,7273
"39",8,2019-04-08,6864
"40",9,2019-04-09,8013
"41",10,2019-04-10,8061
"42",11,2019-04-11,8625
"43",12,2019-04-12,8929
"44",13,2019-04-13,9177
"45",14,2019-04-14,9001
"46",15,2019-04-15,5963
"47",16,2019-04-16,6528
"48",17,2019-04-17,8126
"49",18,2019-04-18,8593
"50",19,2019-04-19,7743
"51",20,2019-04-20,8314
"52",21,2019-04-21,9272
"53",22,2019-04-22,8857
"54",23,2019-04-23,9164
"55",24,2019-04-24,9208
"56",25,2019-04-25,6867
"57",26,2019-04-26,9458
"58",27,2019-04-27,7658
"59",28,2019-04-28,8997
"60",29,2019-04-29,8405
"61",30,2019-04-30,8683
"62",1,2019-05-01,10147
"63",2,2019-05-02,10106
"64",3,2019-05-03,9805
"65",4,2019-05-04,9582
"66",5,2019-05-05,9141
"67",6,2019-05-06,8260
"68",7,2019-05-07,9421
"69",8,2019-05-08,9562
"70",9,2019-05-09,9607
"71",10,2019-05-10,9268
"72",11,2019-05-11,9521
"73",12,2019-05-12,7402
"74",13,2019-05-13,6634
"75",14,2019-05-14,9210
"76",15,2019-05-15,9068
"77",16,2019-05-16,8115
"78",17,2019-05-17,8893
"79",18,2019-05-18,9235
"80",19,2019-05-19,5340
"81",20,2019-05-20,8433
"82",21,2019-05-21,9531
"83",22,2019-05-22,8853
"84",23,2019-05-23,9466
"85",24,2019-05-24,9427
"86",25,2019-05-25,9267
"87",26,2019-05-26,8261
"88",27,2019-05-27,6380
"89",28,2019-05-28,8313
"90",29,2019-05-29,9508
"91",30,2019-05-30,9438
"92",31,2019-05-31,8842
"93",1,2019-06-01,8813
"94",2,2019-06-02,8493
"95",3,2019-06-03,7972
"96",4,2019-06-04,8753
"97",5,2019-06-05,9188
"98",6,2019-06-06,9145
"99",7,2019-06-07,9190
"100",8,2019-06-08,9336
"101",9,2019-06-09,8681
"102",10,2019-06-10,7540
"103",11,2019-06-11,9183
"104",12,2019-06-12,9352
"105",13,2019-06-13,8844
"106",14,2019-06-14,9069
"107",15,2019-06-15,8950
"108",16,2019-06-16,8390
"109",17,2019-06-17,8097
"110",18,2019-06-18,8755
"111",19,2019-06-19,8968
"112",20,2019-06-20,8881
"113",21,2019-06-21,8732
"114",22,2019-06-22,8817
"115",23,2019-06-23,7781
"116",24,2019-06-24,8117
"117",25,2019-06-25,8909
"118",26,2019-06-26,9119
"119",27,2019-06-27,8873
"120",28,2019-06-28,7811
"121",29,2019-06-29,8696
"122",30,2019-06-30,7999
