"","DATE","count","OPADY","TMAX","TMIN","TAV"
"1",2018-03-01,45564,0.38,60,44,11.11
"2",2018-03-02,6855,1.86,44,34,3.89
"3",2018-03-03,28364,0,49,36,5.83
"4",2018-03-04,25262,0,44,34,3.89
"5",2018-03-05,36774,0,43,33,3.33
"6",2018-03-06,42689,0,47,32,4.17
"7",2018-03-07,8188,1.41,39,33,2.22
"8",2018-03-08,28440,0,39,33,2.22
"9",2018-03-09,34912,0,42,30,2.22
"10",2018-03-10,25444,0,40,31,1.94
"11",2018-03-11,27597,0,45,32,3.61
"12",2018-03-12,36340,0.08,43,32,3.06
"13",2018-03-13,23137,0.28,40,33,2.5
"14",2018-03-14,35377,0.01,41,31,2.22
"15",2018-03-15,39574,0,48,32,4.44
"16",2018-03-16,34921,0,40,30,1.67
"17",2018-03-17,27672,0,48,27,3.06
"18",2018-03-18,25158,0,43,28,1.94
"19",2018-03-19,39278,0,47,33,4.44
"20",2018-03-20,35532,0,39,30,1.39
"21",2018-03-21,3755,0.99,39,31,1.67
"22",2018-03-22,27308,0.06,50,32,5
"23",2018-03-23,38528,0,49,35,5.56
"24",2018-03-24,34398,0,51,35,6.11
"25",2018-03-25,25562,0,45,33,3.89
"26",2018-03-26,40295,0,50,34,5.56
"27",2018-03-27,41354,0.01,47,34,4.72
"28",2018-03-28,42520,0.03,52,38,7.22
"29",2018-03-29,39293,0.03,53,49,10.56
"30",2018-03-30,34787,0.03,62,44,11.67
"31",2018-03-31,41794,0,58,39,9.17
"32",2018-04-01,33149,0,60,43,10.83
"33",2018-04-02,22063,0.59,43,33,3.33
"34",2018-04-03,25881,0.26,43,39,5
"35",2018-04-04,36753,0.04,56,40,8.89
"36",2018-04-05,39814,0,45,34,4.17
"37",2018-04-06,35624,0.11,62,37,9.72
"38",2018-04-07,33245,0,49,37,6.11
"39",2018-04-08,28410,0,46,32,3.89
"40",2018-04-09,40509,0,49,32,4.72
"41",2018-04-10,43051,0.01,51,38,6.94
"42",2018-04-11,48612,0,51,37,6.67
"43",2018-04-12,53168,0,63,46,12.5
"44",2018-04-13,63510,0,82,60,21.67
"45",2018-04-14,62597,0,77,44,15.83
"46",2018-04-15,20440,0.47,44,38,5
"47",2018-04-16,26289,2.82,60,39,9.72
"48",2018-04-17,44689,0,47,39,6.11
"49",2018-04-18,51110,0,55,37,7.78
"50",2018-04-19,38298,0.15,49,38,6.39
"51",2018-04-20,47052,0,50,37,6.39
"52",2018-04-21,63599,0,63,39,10.56
"53",2018-04-22,54284,0,67,44,13.06
"54",2018-04-23,57767,0,68,46,13.89
"55",2018-04-24,58527,0.05,66,46,13.33
"56",2018-04-25,31214,0.95,60,52,13.33
